discordants,split_reads,circle_score,mean_cov,cov_incr_start,cov_incr_end,con_continuity,len_coords,target
2.0,1.0,25.0,12.16,0.82,0.93,0.0,154.0,0.0
0.0,1.0,41.0,4.32,0.81,0.56,0.0,148.0,0.0
32.0,0.0,0.0,351.18,0.84,0.93,0.0,188.0,0.0
0.0,1.0,20.0,15.73,0.39,0.43,0.0,525.0,0.0
0.0,1.0,49.0,1.01,0.61,1.0,0.17,181.0,0.0
0.0,2.0,66.0,6.16,0.78,0.91,0.0,63.0,0.0
0.0,3.0,161.88,7.77,0.99,0.95,0.2,170.0,0.0
4.0,0.0,0.0,5.77,0.48,0.61,0.0,48.0,0.0
0.0,1.0,52.0,4.09,0.69,0.96,0.0,132.0,0.0
4.0,0.0,0.0,0.36,0.66,1.0,0.72,317.0,0.0
0.0,1.0,27.0,0.82,0.47,0.26,0.6,69802110.0,0.0
4.0,0.0,0.0,2.61,0.51,0.75,0.0,71.0,0.0
3.0,0.0,0.0,31.61,0.58,0.88,0.0,96.0,0.0
0.0,1.0,25.0,0.87,0.16,1.0,0.46,1087619.0,0.0
4.0,0.0,0.0,0.34,0.24,1.0,0.66,329.0,0.0
0.0,1.0,27.0,2.62,0.41,0.67,0.0,65.0,0.0
4.0,0.0,0.0,3.68,0.63,0.78,0.0,147.0,0.0
0.0,1.0,8.0,1.03,0.27,0.62,0.71,395.0,0.0
4.0,0.0,0.0,2.92,0.58,0.92,0.0,302.0,0.0
0.0,1.0,23.0,4.22,0.52,0.72,0.03,143.0,0.0
0.0,1.0,7.95,3.08,0.62,0.81,0.0,75.0,0.0
0.0,1.0,8.0,1.12,0.18,0.48,0.54,490.0,0.0
0.0,1.0,24.86,3.91,0.66,0.91,0.0,154.0,0.0
3.0,0.0,0.0,11.32,0.67,0.83,0.0,181.0,0.0
3.0,0.0,0.0,12.23,0.52,0.52,0.0,78.0,0.0
0.0,1.0,29.0,1.26,0.31,1.0,0.48,73149352.0,0.0
5.0,0.0,0.0,5.86,0.42,0.77,0.0,201.0,0.0
0.0,1.0,29.0,2.74,0.99,0.99,0.0,76.0,0.0
0.0,4.0,80.0,42.15,0.36,0.64,0.0,263.0,0.0
24.0,0.0,0.0,229.7,0.39,0.82,0.0,3517.0,0.0
0.0,1.0,28.0,3.62,0.41,0.57,0.0,71.0,0.0
0.0,1.0,18.0,0.46,0.97,1.0,0.77,395.0,0.0
20.0,0.0,0.0,1860.05,0.96,0.99,0.0,60.0,0.0
14.0,0.0,0.0,70.98,0.2,0.58,0.0,1013.0,0.0
3.0,0.0,0.0,7.02,0.72,0.76,0.0,44.0,0.0
124.0,0.0,0.0,0.57,0.24,0.74,0.85,11816579.0,0.0
0.0,1.0,57.0,3.24,0.64,0.58,0.0,68.0,0.0
3.0,0.0,0.0,6.48,0.41,0.93,0.0,108.0,0.0
0.0,2.0,60.0,7.29,0.52,0.79,0.0,311.0,0.0
0.0,1.0,8.93,4.06,0.37,0.59,0.01,102.0,0.0
4.0,0.0,0.0,3.45,0.94,0.53,0.19,41783130.0,0.0
0.0,1.0,50.0,3.98,0.24,0.4,0.0,40.0,0.0
5.0,0.0,0.0,41.2,0.62,0.67,0.0,191.0,0.0
3.0,0.0,0.0,308.02,0.98,1.0,0.04,123.0,0.0
0.0,1.0,9.0,0.57,0.47,1.0,0.6,3005.0,0.0
0.0,2.0,71.86,6.67,0.78,0.97,0.0,108.0,0.0
0.0,2.0,46.0,14.35,0.24,0.89,0.09,372.0,0.0
4.0,0.0,0.0,19.84,0.43,0.19,0.0,144.0,0.0
0.0,1.0,7.98,2.43,0.47,0.52,0.07,69.0,0.0
6.0,0.0,0.0,12.4,0.9,0.87,0.0,228.0,0.0
4.0,0.0,0.0,7.56,0.26,0.86,0.0,100.0,0.0
0.0,2.0,73.0,1.55,0.97,0.54,0.53,520781.0,0.0
1.0,2.0,81.0,1.35,0.32,0.9,0.13,113.0,0.0
0.0,1.0,31.75,4.61,0.58,0.79,0.0,97.0,0.0
0.0,1.0,9.0,0.48,0.37,1.0,0.61,1724.0,0.0
